[[1;34mINFO[m] Scanning for projects...
[[1;34mINFO[m] 
[[1;34mINFO[m] [1m----------------------< [0;36msarpreetsingh:activforms[0;1m >----------------------[m
[[1;34mINFO[m] [1mBuilding activforms 0.0.1-SNAPSHOT[m
[[1;34mINFO[m] [1m--------------------------------[ jar ]---------------------------------[m
[[1;34mINFO[m] 
[[1;34mINFO[m] [1m>>> [0;32mexec-maven-plugin:1.2.1:java[m [1m(default-cli)[0;1m > [0;1mvalidate[m @ [36mactivforms[0;1m >>>[m
[[1;34mINFO[m] 
[[1;34mINFO[m] [1m<<< [0;32mexec-maven-plugin:1.2.1:java[m [1m(default-cli)[0;1m < [0;1mvalidate[m @ [36mactivforms[0;1m <<<[m
[[1;34mINFO[m] 
[[1;34mINFO[m] 
[[1;34mINFO[m] [1m--- [0;32mexec-maven-plugin:1.2.1:java[m [1m(default-cli)[m @ [36mactivforms[0;1m ---[m
Feedback loop started.
89;1603329985642;7.9345300000000005;0.133333;66.4996;1603330751523
90;1603330751523;8.887595000000001;0.286626;66.4111;1603331494527
91;1603331494527;9.144815000000001;0.144928;66.3324;1603332252038
92;1603332252039;9.282129999999999;2.16078;66.4635;1603332971463
93;1603332971463;7.95979;1.9422499999999998;66.3085;1603333685637
94;1603333685638;9.614654999999999;2.8346199999999997;66.3867;1603334386995
95;1603334386996;7.237425;0.49393400000000004;66.0454;1603335093479
96;1603335093480;9.78968;1.91871;65.9185;1603335789661
97;1603335789662;9.93946;0.528205;66.5316;1603336530973
98;1603336530973;9.167965;0.46615700000000004;66.2665;1603337224812
99;1603337224813;9.959404999999999;3.98897;66.5317;1603337980560
100;1603337980561;9.93946;0.40096000000000004;66.2444;1603338759536
101;1603338759536;8.555795;0.262346;66.4641;1603339534411
102;1603339534411;9.21393;1.43431;66.7089;1603340290816
103;1603340290817;9.830615;0.635507;66.596;1603341049563
104;1603341049563;7.646739999999999;0.640551;66.4158;1603341737805
105;1603341737806;7.95979;0.128205;66.1788;1603342423386
106;1603342423386;8.983995;0.0;66.2046;1603343114418
107;1603343114418;9.393965;1.16035;66.3496;1603343799718
108;1603343799719;9.67798;0.743351;66.2893;1603344482918
109;1603344482918;9.546645000000002;1.2506599999999999;66.253;1603345178706
110;1603345178706;7.2925450000000005;0.49918599999999996;66.2879;1603345876357
111;1603345876357;7.404369999999999;1.37383;66.3211;1603346578105
112;1603346578106;9.78968;3.7161;66.3249;1603347264942
113;1603347264942;9.12162;0.40187799999999996;66.3815;1603347966671
114;1603347966671;8.911850000000001;0.793884;66.2282;1603349091190
115;1603349091190;9.983244999999998;3.42808;66.6853;1603350225659
116;1603350225660;9.854930000000001;0.04;66.7193;1603351407659
117;1603351407659;7.673685;1.8587699999999998;66.478;1603352526320
118;1603352526320;9.744465;0.48975700000000005;66.5062;1603353704344
119;1603353704345;9.459950000000001;1.96256;66.2335;1603354805900
120;1603354805905;7.432835;0.297619;66.128;1603355741388
121;1603355741388;9.614654999999999;4.30148;66.8119;1603356423961
122;1603356423961;9.765155;1.54574;66.5341;1603357142959
123;1603357142959;8.911850000000001;0.504686;66.1999;1603357830749
124;1603357830749;7.909135000000001;0.618167;66.3003;1603358511743
125;1603358511744;8.70127;0.123457;66.1144;1603359213379
126;1603359213380;8.360295;1.51356;66.282;1603359890829
127;1603359890829;8.65453;2.14202;66.1081;1603360525984
128;1603360525984;9.459950000000001;0.23726;65.9522;1603361162074
129;1603361162074;9.959404999999999;2.22392;66.2387;1603361866020
130;1603361866021;9.656979999999999;0.0;66.4384;1603362572964
131;1603362572964;9.854930000000001;0.493168;66.0967;1603363286286
132;1603363286287;8.842645;1.18893;66.3728;1603363997099
133;1603363997100;8.887595000000001;0.40180600000000005;66.2343;1603364691359
134;1603364691359;9.19097;0.711125;66.4804;1603365380708
135;1603365380708;9.744465;0.506935;66.22;1603366087479
136;1603366087480;9.723685;2.25247;66.487;1603366792423
137;1603366792423;9.525095;0.07703700000000001;66.0878;1603367499349
138;1603367499349;9.919435;2.82349;66.4985;1603368240303
139;1603368240303;9.765155;0.397266;66.7425;1603369007840
140;1603369007841;9.854930000000001;0.128205;67.0391;1603369790416
141;1603369790416;9.702865;0.903455;66.9697;1603370572215
142;1603370572216;9.635840000000002;0.361594;66.3446;1603371333131
143;1603371333132;9.93946;0.0;66.8729;1603372113290
144;1603372113291;8.747544999999999;0.0;66.4628;1603372891901
145;1603372891901;9.919435;0.624691;66.2976;1603373642274
146;1603373642274;9.919435;0.0;66.3783;1603374393347
147;1603374393348;9.481725;0.380247;66.4403;1603375116717
148;1603375116717;9.393965;0.128205;66.1792;1603375887456
149;1603375887456;9.983244999999998;0.613643;66.2457;1603376590284
150;1603376590285;8.81806;0.261538;66.0673;1603377291332
151;1603377291333;9.19097;0.614514;66.3895;1603378002487
152;1603378002488;9.656979999999999;0.0;66.5197;1603378725696
153;1603378725697;8.11215;0.0;66.1162;1603379435385
154;1603379435385;8.96005;0.7164539999999999;66.5456;1603380205155
155;1603380205156;9.765155;0.16388;66.8124;1603380981312
156;1603380981312;8.555795;3.4666099999999997;66.9247;1603381762011
157;1603381762011;9.854930000000001;0.11494299999999999;66.2907;1603382512165
158;1603382512165;8.409910000000002;0.49356599999999995;66.3729;1603383233988
159;1603383233989;9.983244999999998;4.66238;66.1277;1603383977041
160;1603383977042;9.723685;0.123457;66.107;1603384678037
161;1603384678037;5.877504999999999;0.133333;66.2213;1603385377697
162;1603385377697;8.11215;1.4514900000000002;66.1536;1603386078226
163;1603386078226;9.895380000000001;2.2106;66.2216;1603386785623
164;1603386785623;9.983244999999998;0.460139;66.4077;1603387506113
165;1603387506113;9.327135;0.0909091;66.5024;1603388229860
166;1603388229861;9.304704999999998;0.160494;66.4938;1603389012155
167;1603389012155;9.983244999999998;2.46338;66.7594;1603389793458
168;1603389793458;9.327135;0.123457;66.8052;1603390575361
169;1603390575362;9.895380000000001;0.56485;66.2933;1603391304766
170;1603391304767;9.67798;0.414325;66.2815;1603392028614
171;1603392028615;9.895380000000001;0.0;66.3488;1603392735058
172;1603392735059;9.12162;0.45176799999999995;66.0709;1603393435865
173;1603393435866;9.593385;0.138889;65.9048;1603394113208
174;1603394113209;8.31017;2.0507;66.2112;1603394813110
175;1603394813110;9.78968;1.86424;66.2529;1603395515198
176;1603395515199;7.984895;0.123457;66.2137;1603396227188
177;1603396227188;9.282129999999999;1.49092;66.1534;1603396934268
178;1603396934269;7.1815500000000005;0.28911000000000003;66.3088;1603397647151
179;1603397647152;7.51337;0.0;66.0727;1603398365368
180;1603398365369;9.327135;0.17476;66.2407;1603399081526
181;1603399081526;9.304704999999998;0.037037;66.0457;1603399788735
182;1603399788735;9.236740000000001;0.551351;66.3002;1603400508396
183;1603400508396;8.409910000000002;0.0754986;66.3815;1603401228564
184;1603401228564;9.78968;0.507799;66.4208;1603401964454
185;1603401964455;9.830615;1.78363;66.4791;1603402687172
186;1603402687172;9.371765;0.0;66.1397;1603403422251
187;1603403422251;8.188375;0.0434783;66.4895;1603404143192
188;1603404143193;9.656979999999999;0.428086;66.4442;1603404862121
189;1603404862122;9.959404999999999;0.891657;66.1432;1603405536224
190;1603405536225;7.619629999999999;0.123457;66.2177;1603406243105
191;1603406243106;8.842645;0.5457110000000001;66.1224;1603406962524
192;1603406962524;9.371765;2.01437;66.4667;1603407694006
193;1603407694006;8.887595000000001;0.635192;66.4307;1603408410710
194;1603408410710;9.327135;0.26144100000000003;66.432;1603409129177
195;1603409129178;9.983244999999998;0.649011;66.3101;1603409861026
196;1603409861027;8.747544999999999;0.7800119999999999;66.2663;1603410572260
197;1603410572261;9.830615;2.26546;66.1108;1603411292400
198;1603411292401;8.13641;1.21772;66.3111;1603411999621
199;1603411999621;9.503454999999999;1.5243;66.3771;1603412701637
200;1603412701638;9.959404999999999;2.66749;66.1453;1603413399599
201;1603413399600;8.485335;0.0;66.0025;1603414080634
202;1603414080635;9.57202;0.277778;66.4042;1603414780614
203;1603414780615;6.75366;0.9043880000000001;66.2342;1603415385481
204;1603415385482;9.830615;0.429825;66.2729;1603416088959
205;1603416088960;7.404369999999999;0.04;66.1218;1603416794029
206;1603416794029;9.765155;1.24395;65.9931;1603417508467
207;1603417508468;9.919435;0.769799;66.2435;1603418232403
208;1603418232403;8.842645;2.5682;66.7185;1603418981846
209;1603418981847;8.86712;0.21296299999999999;66.4916;1603419686225
210;1603419686226;8.43646;0.119048;66.4769;1603420400548
211;1603420400548;9.393965;3.25557;66.3855;1603421104196
212;1603421104197;8.887595000000001;1.50195;66.1682;1603421837553
213;1603421837554;9.546645000000002;1.19554;66.3155;1603422566134
214;1603422566135;9.19097;1.88137;66.0863;1603423298663
215;1603423298663;9.349525;2.95582;66.2731;1603424022016
216;1603424022016;9.810195;3.4621399999999998;66.38;1603424728390
217;1603424728391;9.67798;3.6580399999999997;66.649;1603425421485
218;1603425421485;8.3871;0.119048;66.2902;1603426123570
219;1603426123571;6.04054;0.144444;66.6122;1603426826410
220;1603426826410;9.327135;3.00569;66.5616;1603427540655
221;1603427540655;8.08775;0.133333;66.2783;1603428261258
222;1603428261258;9.702865;0.681912;66.2469;1603428967829
223;1603428967830;9.830615;0.11494299999999999;66.7985;1603429741325
224;1603429741326;9.854930000000001;0.371733;66.4621;1603430471096
225;1603430471096;9.93946;0.332392;66.0269;1603431189853
226;1603431189854;9.371765;1.96242;66.1771;1603431912381
227;1603431912382;9.525095;1.6222699999999999;66.3944;1603432631391
228;1603432631391;9.919435;0.0;66.4064;1603433353792
229;1603433353793;9.983244999999998;0.0;66.2972;1603434060221
230;1603434060221;9.236740000000001;2.31946;66.4065;1603434765928
231;1603434765928;9.304704999999998;0.5838;66.4593;1603435485086
232;1603435485086;6.78294;0.128205;66.2016;1603436204831
233;1603436204832;8.485335;1.8938199999999998;66.2125;1603436920209
234;1603436920210;9.983244999999998;1.77262;66.2785;1603437637686
235;1603437637686;9.41602;0.15873;66.3554;1603438392847
236;1603438392847;9.503454999999999;0.5030180000000001;66.3264;1603439197413
237;1603439197414;9.875175;0.243669;66.7184;1603439980903
238;1603439980903;9.78968;0.273133;66.2835;1603440704329
239;1603440704329;9.93946;0.56276;66.5657;1603441481412
240;1603441481412;9.983244999999998;0.390098;66.2708;1603442217089
241;1603442217090;9.00392;1.9621300000000002;66.0358;1603442952732
242;1603442952733;9.983244999999998;0.31900700000000004;66.2761;1603443682649
243;1603443682650;9.074835;0.0;66.2732;1603444417605
244;1603444417606;9.875175;4.70012;66.4782;1603445136503
245;1603445136503;8.555795;1.4642499999999998;66.266;1603445844906
246;1603445844907;6.869435;4.47495;66.0628;1603446525049
247;1603446525050;9.875175;1.03306;66.327;1603447247591
248;1603447247592;8.887595000000001;3.52947;66.4109;1603447966789
249;1603447966789;9.525095;1.6434799999999998;66.1429;1603448691984
250;1603448691985;7.9345300000000005;4.70226;66.2588;1603449415011
251;1603449415011;8.983995;0.21296299999999999;66.4374;1603450176215
252;1603450176215;8.86712;0.0;66.3575;1603450936910
253;1603450936911;9.00392;1.2338200000000001;66.4894;1603451704137
254;1603451704138;9.57202;0.41233299999999995;66.3014;1603452561301
255;1603452561301;8.911850000000001;0.266667;66.1695;1603453430053
256;1603453430054;9.371765;1.6259;66.1853;1603454279107
257;1603454279108;9.875175;0.510317;66.3527;1603455119574
